Symbol
AMBU-B.CO
BAVA.CO
CARL-B.CO
COLO-B.CO
DANSKE.CO
DEMANT.CO
DSV.CO
FLS.CO
GMAB.CO
GN.CO
ISS.CO
JYSK.CO
MAERSK-A.CO
MAERSK-B.CO
NDA-DK.CO
NKT.CO
NOVO-B.CO
ORSTED.CO
PNDORA.CO
RBREW.CO
ROCK-B.CO
TRYG.CO
VWS.CO
ZEAL.CO
^VIX
